Split,Sim ID,Power MAE (kW),Power MAPE (%),KE MAE,KE MAPE (%),CF Baseline MAPE (%),CF Peak Error (%),CF Recon MAE (N)
TRAIN,3,0.01,0.0,0.0,0.0,0.0,14.09,825.38
TRAIN,4,0.0,0.0,0.0,0.0,0.0,1.79,834.07
TRAIN,5,0.0,0.0,0.0,0.0,0.0,9.87,590.19
TRAIN,6,0.0,0.0,0.0,0.0,0.0,8.99,2242.04
TRAIN,7,0.0,0.0,0.0,0.0,0.0,0.0,1139.85
TRAIN,12,0.0,0.0,0.0,0.0,0.0,5.5,1859.96
TRAIN,16,0.0,0.0,0.0,0.0,0.0,15.71,279.81
TRAIN,18,0.0,0.0,0.0,0.0,0.0,0.0,191.59
TRAIN,19,0.01,0.0,0.01,0.0,0.0,8.76,1032.59
TRAIN,21,0.0,0.0,0.0,0.0,0.0,11.97,244.21
TRAIN,24,0.0,0.0,0.0,0.0,0.0,8.22,531.36
TRAIN,25,0.0,0.0,0.0,0.0,0.0,5.66,1025.5
TRAIN,26,0.0,0.0,0.0,0.0,0.0,0.49,1059.47
TRAIN,27,0.0,0.0,0.0,0.0,0.0,4.95,671.92
TRAIN,28,0.0,0.0,0.0,0.0,0.0,0.0,651.12
TRAIN,29,0.0,0.0,0.0,0.0,0.0,15.1,733.48
TRAIN,33,0.01,0.0,0.0,0.0,0.0,0.04,1144.04
TRAIN,34,0.0,0.0,0.0,0.0,0.0,44.73,996.99
TRAIN,36,0.0,0.0,0.0,0.0,0.0,0.0,502.07
TRAIN,37,0.0,0.0,0.0,0.0,0.0,17.74,376.17
TRAIN,38,0.0,0.0,0.0,0.0,0.0,5.25,323.55
VAL,8,43.11,11.9,48.47,52.92,20.35,17.81,3179.19
VAL,11,211.19,38.12,165.93,29.03,16.91,25.35,3436.85
VAL,15,9.98,10.98,5.62,16.43,25.03,30.05,1478.65
VAL,35,20.61,7.58,5.64,7.03,18.23,25.16,2282.07
TEST,9,40.89,11.61,4.57,4.83,18.44,16.39,3854.05
TEST,17,8.7,8.79,3.75,10.25,20.14,8.79,1085.34
TEST,20,55.33,13.64,84.22,25.24,27.49,98.35,3906.22
TEST,22,7.34,6.7,6.83,24.69,15.77,68.48,1507.25
TEST,30,20.24,7.21,4.71,5.49,15.91,33.16,2282.08
TEST,31,35.28,10.26,79.34,20.76,34.18,42.04,6081.71
TEST,32,31.76,9.74,88.36,20.94,31.67,4.0,5722.65
